Date,Open,High,Low,Close,Adj Close,Volume
2022-08-02,18.122000,18.938000,18.091999,18.525999,18.505161,489527000
2022-08-03,18.184000,18.968000,18.136999,18.893000,18.871750,418146000
2022-08-04,18.849001,19.274000,18.760000,19.215000,19.193384,409652000
2022-08-05,18.809999,19.229000,18.666000,18.989000,18.967640,386068000
2022-08-08,17.502001,18.239000,17.242001,17.792999,17.772982,981859000
2022-08-09,17.252001,17.447001,16.724001,17.086000,17.066782,668263000
2022-08-10,17.698000,18.118000,17.316999,18.097000,18.076639,597422000
2022-08-11,18.131001,18.707001,17.875999,17.941999,17.921818,509327000
2022-08-12,18.160000,18.718000,17.952999,18.709000,18.687954,478094000
2022-08-15,18.701000,19.164000,18.613001,19.032000,19.010590,457666000
2022-08-16,18.920000,19.142000,18.500999,18.879000,18.857761,451240000
2022-08-17,18.523001,18.688000,18.145000,18.334999,18.314371,446799000
2022-08-18,18.301001,18.865000,18.183001,18.773001,18.751883,415447000
2022-08-19,18.406000,18.520000,17.770000,17.849001,17.828922,441588000
2022-08-22,17.490000,17.558001,16.966000,17.034000,17.014837,409593000
2022-08-23,16.989000,17.465000,16.969999,17.181000,17.161673,369986000
2022-08-24,17.011999,17.406000,16.895000,17.222000,17.202629,522661000
2022-08-25,16.844000,17.947001,16.833000,17.913000,17.892851,770691000
2022-08-26,17.857000,17.924000,16.237000,16.260000,16.241709,769127000
2022-08-29,16.020000,16.337999,15.767000,15.801000,15.783224,496132000
2022-08-30,15.960000,16.039000,15.182000,15.468000,15.450600,530181000
2022-08-31,15.384000,15.540000,14.959000,15.094000,15.077021,573710000
2022-09-01,14.209000,14.380000,13.270000,13.937000,13.921322,1178865000
2022-09-02,14.100000,14.171000,13.591000,13.647000,13.631648,743157000
2022-09-06,13.731000,13.779000,13.351000,13.465000,13.449854,535751000
2022-09-07,13.563000,13.838000,13.346000,13.714000,13.702643,512657000
2022-09-08,13.459000,14.008000,13.369000,13.990000,13.978415,624873000
2022-09-09,14.157000,14.474000,14.126000,14.387000,14.375087,486612000
2022-09-12,14.369000,14.547000,14.198000,14.505000,14.492989,484159000
2022-09-13,13.802000,13.922000,13.099000,13.131000,13.120126,714956000
2022-09-14,13.254000,13.290000,12.913000,13.128000,13.117129,588507000
2022-09-15,13.015000,13.233000,12.790000,12.929000,12.918293,523625000
2022-09-16,12.742000,13.212000,12.617000,13.198000,13.187071,670751000
2022-09-19,13.012000,13.463000,13.010000,13.382000,13.370918,569685000
2022-09-20,13.215000,13.483000,13.057000,13.176000,13.165088,524818000
2022-09-21,13.213000,14.031000,13.110000,13.261000,13.250017,807679000
2022-09-22,13.070000,13.149000,12.428000,12.561000,12.550599,759162000
2022-09-23,12.420000,12.611000,12.257000,12.516000,12.505636,663309000
2022-09-26,12.491000,12.659000,12.214000,12.228000,12.217874,547343000
2022-09-27,12.507000,12.736000,12.258000,12.413000,12.402720,553854000
2022-09-28,12.410000,12.823000,12.354000,12.736000,12.725454,542414000
2022-09-29,12.448000,12.500000,11.946000,12.220000,12.209881,532763000
2022-09-30,12.087000,12.633000,12.075000,12.139000,12.128947,565638000
2022-10-03,12.347000,12.678000,12.105000,12.512000,12.501638,547478000
2022-10-04,12.879000,13.220000,12.879000,13.167000,13.156096,584182000
2022-10-05,12.911000,13.321000,12.621000,13.209000,13.198063,507131000
2022-10-06,13.220000,13.656000,13.103000,13.130000,13.119128,644157000
2022-10-07,12.505000,12.670000,12.022000,12.076000,12.065998,672478000
2022-10-10,12.037000,12.124000,11.408000,11.670000,11.660336,698699000
2022-10-11,11.561000,11.846000,11.283000,11.586000,11.576406,667482000
2022-10-12,11.579000,11.735000,11.345000,11.500000,11.490478,492590000
2022-10-13,10.971000,12.078000,10.813000,11.960000,11.950095,850103000
2022-10-14,12.057000,12.111000,11.204000,11.227000,11.217702,713432000
2022-10-17,11.518000,11.948000,11.517000,11.888000,11.878157,580774000
2022-10-18,12.344000,12.492000,11.618000,11.967000,11.957091,659362000
2022-10-19,11.879000,12.350000,11.834000,12.051000,12.041021,523131000
2022-10-20,12.113000,12.769000,12.105000,12.194000,12.183904,652398000
2022-10-21,12.098000,12.498000,11.887000,12.466000,12.455677,609494000
2022-10-24,12.508000,12.710000,12.064000,12.599000,12.588567,517457000
2022-10-25,12.694000,13.300000,12.664000,13.261000,13.250017,505482000
2022-10-26,12.869000,13.388000,12.708000,12.896000,12.885320,532953000
2022-10-27,13.630000,13.838000,13.122000,13.176000,13.165088,583113000
2022-10-28,13.104000,13.850000,13.061000,13.834000,13.822544,521040000
2022-10-31,13.778000,13.838000,13.297000,13.497000,13.485823,486341000
2022-11-01,13.811000,13.925000,13.519000,13.543000,13.531784,432817000
2022-11-02,13.850000,14.210000,13.211000,13.219000,13.208053,672628000
2022-11-03,13.043000,13.781000,12.956000,13.421000,13.409887,500065000
2022-11-04,13.986000,14.229000,13.697000,14.156000,14.144278,612576000
2022-11-07,14.228000,14.412000,13.954000,14.301000,14.289157,410061000
2022-11-08,14.801000,14.891000,14.216000,14.602000,14.589909,595292000
2022-11-09,14.162000,14.211000,13.759000,13.776000,13.764592,454414000
2022-11-10,14.800000,15.773000,14.547000,15.750000,15.736958,700819000
2022-11-11,15.807000,16.389000,15.482000,16.327000,16.313480,655487000
2022-11-14,16.218000,16.540001,15.922000,16.295000,16.281506,527852000
2022-11-15,16.722000,16.997999,16.382000,16.666000,16.652199,545876000
2022-11-16,16.162001,16.362000,15.873000,15.910000,15.896825,649547000
2022-11-17,15.715000,16.266001,15.535000,15.677000,15.664018,710894000
2022-11-18,15.966000,16.002001,15.120000,15.409000,15.396239,492072000
2022-11-21,15.147000,15.477000,15.080000,15.317000,15.304316,404739000
2022-11-22,15.328000,16.058001,15.122000,16.038000,16.024717,472866000
2022-11-23,16.098000,16.527000,16.048000,16.518999,16.505320,427241000
2022-11-25,16.318001,16.487000,16.172001,16.270000,16.256529,167934000
2022-11-28,16.025999,16.357000,15.725000,15.827000,15.813893,303741000
2022-11-29,15.827000,15.932000,15.520000,15.639000,15.626049,298384000
2022-11-30,15.697000,16.930000,15.597000,16.923000,16.913309,565298000
2022-12-01,16.999001,17.264999,16.635000,17.135000,17.125191,470977000
2022-12-02,16.659000,16.933001,16.445000,16.875999,16.866339,371389000
2022-12-05,16.679001,16.995001,16.472000,16.610001,16.600492,352255000
2022-12-06,16.530001,16.573000,15.819000,15.987000,15.977848,352694000
2022-12-07,15.772000,16.186001,15.667000,16.120001,16.110773,372388000
2022-12-08,16.273001,17.179001,15.959000,17.169001,17.159172,515456000
2022-12-09,17.160000,17.583000,16.975000,17.000999,16.991266,465338000
2022-12-12,17.037001,17.538000,16.797001,17.535000,17.524961,457328000
2022-12-13,18.531000,18.790001,17.711000,18.072001,18.061655,656589000
2022-12-14,17.987000,18.252001,17.420000,17.674000,17.663879,496888000
2022-12-15,17.146000,17.320000,16.700001,16.952000,16.942295,478542000
2022-12-16,16.864000,17.041000,16.410000,16.570999,16.561514,478232000
